#Axion frequency	#gann(GeV^-1)
185.79376770847	5.94151816473367e-08
187.653384356168	6.07182866291734e-08
189.531613975222	6.03210959479706e-08
191.428642863545	6.14186931425859e-08
193.344659183715	6.29218755658075e-08
195.279852981635	6.43191106923183e-08
197.234416205383	6.73440963261173e-08
199.208542724256	8.02581822086342e-08
201.202428347992	8.5909554072179e-08
203.216270846199	8.30215786732617e-08
205.250269967965	9.29294116657223e-08
207.304627461678	1.08388173034932e-07
209.379547095029	1.17741827549666e-07
211.47523467523	1.17958073512501e-07
213.591898069424	1.14492528077638e-07
215.729747225304	1.05333022402462e-07
217.888994191937	9.0500988005283e-08
220.069853140798	8.12614348856424e-08
222.27254038701	8.1011028457834e-08
224.497274410804	8.22815207025738e-08
226.744275879186	8.4085370822736e-08
229.013767667828	8.56947007606542e-08
231.305974883171	8.64807202436271e-08
233.621124884756	8.82394611476667e-08
235.959447307774	9.05476616950024e-08
238.321174085842	9.24543298930223e-08
240.706539474009	9.34221186246871e-08
243.115780071993	9.46904000113824e-08
245.549134847646	9.67301542665732e-08
248.006845160659	1.08800065852628e-07
250.489154786499	1.10373027233419e-07
252.996309940593	1.01870432693529e-07
255.528559302745	1.03951952888953e-07
258.086154041808	1.06299733448692e-07
260.669347840588	1.0880032479562e-07
263.278396921016	1.1105247529408e-07
265.913560069554	1.13556283810629e-07
268.575098662873	1.16545629773372e-07
271.263276693765	1.1928814740769e-07
273.978360797342	1.22013568694664e-07
276.720620277472	1.24987868820882e-07
279.4903271335	1.2851083266646e-07
282.287756087218	1.31789356462173e-07
285.113184610121	1.34914716335349e-07
287.966892950926	1.38874897208923e-07
290.849164163369	1.43475282293221e-07
